Location Name,State Index,State Abbr,Total Pop,Income in the past 12 months below poverty level,"Below poverty level per 1,000 residents",Percent below poverty level,state,county
Appling County,Georgia,GA,18410,3694,200.65,20.065,13,1
Haskell County,Oklahoma,OK,12835,2574,200.55,20.055,40,61
Roberts County,South Dakota,SD,10294,2064,200.51,20.051,46,109
Chilton County,Alabama,AL,43817,8779,200.36,20.036,1,21
Miller County,Arkansas,AR,43666,8749,200.36,20.036,5,91
Dade County,Missouri,MO,7590,1520,200.26,20.026,29,57
Lewis County,Tennessee,TN,11907,2384,200.22,20.022,47,101
Chambers County,Alabama,AL,34018,6805,200.04,20.004,1,17
Mason County,Kentucky,KY,17229,3446,200.01,20.001,21,161
Upton County,Texas,TX,3475,695,200,20,48,461
McIntosh County,Georgia,GA,13941,2788,199.99,19.999,13,191
Prowers County,Colorado,CO,12121,2422,199.82,19.982,8,99
Muscogee County,Georgia,GA,200303,40006,199.73,19.973,13,215
Lyon County,Kansas,KS,33401,6671,199.72,19.972,20,111
Pawnee County,Nebraska,NE,2695,538,199.63,19.963,31,133
Haralson County,Georgia,GA,28667,5721,199.57,19.957,13,143
Dale County,Alabama,AL,49607,9897,199.51,19.951,1,45
Polk County,Georgia,GA,41263,8229,199.43,19.943,13,233
Champaign County,Illinois,IL,206420,41161,199.4,19.94,17,19
Glenn County,California,CA,27976,5578,199.39,19.939,6,21
Caddo County,Oklahoma,OK,29510,5883,199.36,19.936,40,15
St. Bernard Parish,Louisiana,LA,44091,8784,199.22,19.922,22,87
Pondera County,Montana,MT,6166,1228,199.16,19.916,30,73
Tippecanoe County,Indiana,IN,183397,36513,199.09,19.909,18,157
Wyoming County,West Virginia,WV,22537,4483,198.92,19.892,54,109
Talladega County,Alabama,AL,81057,16119,198.86,19.886,1,121
Wheeler County,Oregon,OR,1369,272,198.69,19.869,41,69
Mendocino County,California,CA,87409,17366,198.68,19.868,6,45
Logan County,West Virginia,WV,35166,6986,198.66,19.866,54,45
Terrebonne Parish,Louisiana,LA,113099,22457,198.56,19.856,22,109
Cleveland County,Arkansas,AR,8421,1671,198.43,19.843,5,25
Yuma County,Arizona,AZ,203292,40330,198.38,19.838,4,27
Camas County,Idaho,ID,968,192,198.35,19.835,16,25
Jasper County,Georgia,GA,13571,2685,197.85,19.785,13,159
Trinity County,California,CA,13180,2607,197.8,19.78,6,105
Pierce County,Georgia,GA,19030,3764,197.79,19.779,13,229
Roane County,West Virginia,WV,14513,2870,197.75,19.775,54,87
Graham County,Arizona,AZ,37529,7419,197.69,19.769,4,9
Morgan County,Ohio,OH,14857,2936,197.62,19.762,39,115
Hansford County,Texas,TX,5552,1096,197.41,19.741,48,195
Pearl River County,Mississippi,MS,55167,10886,197.33,19.733,28,109
Madison County,Kentucky,KY,87324,17222,197.22,19.722,21,151
West Baton Rouge Parish,Louisiana,LA,25017,4933,197.19,19.719,22,121
Lynn County,Texas,TX,5723,1128,197.1,19.71,48,305
Hyde County,North Carolina,NC,5629,1108,196.84,19.684,37,95
Ashley County,Arkansas,AR,20989,4131,196.82,19.682,5,3
Pueblo County,Colorado,CO,162158,31907,196.76,19.676,8,101
De Baca County,New Mexico,NM,1977,389,196.76,19.676,35,11
Knox County,Missouri,MO,3997,786,196.65,19.665,29,103
Grant County,Kentucky,KY,24705,4857,196.6,19.66,21,81
Crosby County,Texas,TX,5987,1177,196.59,19.659,48,107
Braxton County,West Virginia,WV,14463,2842,196.5,19.65,54,7
Overton County,Tennessee,TN,22090,4340,196.47,19.647,47,133
Bertie County,North Carolina,NC,20324,3992,196.42,19.642,37,15
Oceana County,Michigan,MI,26152,5136,196.39,19.639,26,127
Kittitas County,Washington,WA,42785,8402,196.38,19.638,53,37
Marion County,Arkansas,AR,16404,3220,196.29,19.629,5,89
Wise County,Virginia,VA,40074,7865,196.26,19.626,51,195
Webster County,Kentucky,KY,13331,2615,196.16,19.616,21,233
Laurens County,South Carolina,SC,66442,13028,196.08,19.608,45,59
Ashe County,North Carolina,NC,26992,5290,195.98,19.598,37,9
Miami-Dade County,Florida,FL,2664418,522143,195.97,19.597,12,86
Ogemaw County,Michigan,MI,21103,4135,195.94,19.594,26,129
Karnes County,Texas,TX,14984,2936,195.94,19.594,48,255
Schuyler County,Illinois,IL,7205,1411,195.84,19.584,17,169
McDowell County,North Carolina,NC,45013,8814,195.81,19.581,37,111
Alcorn County,Mississippi,MS,37309,7305,195.8,19.58,28,3
Union County,South Carolina,SC,27928,5464,195.65,19.565,45,87
Iberia Parish,Louisiana,LA,73799,14437,195.63,19.563,22,45
Guernsey County,Ohio,OH,39478,7722,195.6,19.56,39,59
Sumter County,South Carolina,SC,107682,21063,195.6,19.56,45,85
Pend Oreille County,Washington,WA,13001,2543,195.6,19.56,53,51
DeKalb County,Alabama,AL,70937,13872,195.55,19.555,1,49
Rapides Parish,Louisiana,LA,132373,25882,195.52,19.552,22,79
Navarro County,Texas,TX,48177,9418,195.49,19.549,48,349
Fisher County,Texas,TX,3847,752,195.48,19.548,48,151
Lamar County,Texas,TX,49626,9691,195.28,19.528,48,277
Jefferson County,Oregon,OR,22305,4355,195.25,19.525,41,31
Stephens County,Georgia,GA,25584,4995,195.24,19.524,13,257
Stone County,Mississippi,MS,17995,3513,195.22,19.522,28,131
Delaware County,Oklahoma,OK,41433,8086,195.16,19.516,40,41
Perry County,Mississippi,MS,12174,2375,195.09,19.509,28,111
Okmulgee County,Oklahoma,OK,39322,7656,194.7,19.47,40,111
Scott County,Virginia,VA,22378,4355,194.61,19.461,51,169
Deer Lodge County,Montana,MT,9176,1785,194.53,19.453,30,23
Roscommon County,Michigan,MI,23900,4644,194.31,19.431,26,143
Elbert County,Georgia,GA,19394,3768,194.29,19.429,13,105
Atoka County,Oklahoma,OK,13847,2690,194.27,19.427,40,5
Whitfield County,Georgia,GA,103653,20126,194.17,19.417,13,313
Cross County,Arkansas,AR,17329,3364,194.13,19.413,5,37
Prairie County,Arkansas,AR,8334,1617,194.02,19.402,5,117
Rosebud County,Montana,MT,9348,1813,193.95,19.395,30,87
Nottoway County,Virginia,VA,15641,3030,193.72,19.372,51,135
Oscoda County,Michigan,MI,8374,1621,193.58,19.358,26,135
Peach County,Georgia,GA,26907,5206,193.48,19.348,13,225
Dolores County,Colorado,CO,1789,346,193.4,19.34,8,33
Green County,Kentucky,KY,11123,2151,193.38,19.338,21,87
Dixie County,Florida,FL,16084,3109,193.3,19.33,12,29
Itawamba County,Mississippi,MS,23511,4544,193.27,19.327,28,57
Coal County,Oklahoma,OK,5755,1112,193.22,19.322,40,29
Arkansas County,Arkansas,AR,18569,3587,193.17,19.317,5,1
Howard County,Arkansas,AR,13487,2605,193.15,19.315,5,61
Lane County,Oregon,OR,360273,69588,193.15,19.315,41,39
Osceola County,Florida,FL,311962,60243,193.11,19.311,12,97
Grundy County,Missouri,MO,10231,1975,193.04,19.304,29,79
Cleburne County,Alabama,AL,14991,2889,192.72,19.272,1,29
Cherokee County,North Carolina,NC,27226,5247,192.72,19.272,37,39
Cochran County,Texas,TX,2955,569,192.55,19.255,48,79
Hale County,Texas,TX,35007,6740,192.53,19.253,48,189
Josephine County,Oregon,OR,84063,16177,192.44,19.244,41,33
Burke County,North Carolina,NC,89082,17135,192.35,19.235,37,23
Phelps County,Missouri,MO,44833,8620,192.27,19.227,29,161
Alleghany County,North Carolina,NC,10868,2089,192.22,19.222,37,5
Crawford County,Indiana,IN,10582,2034,192.21,19.221,18,25
Brunswick County,Virginia,VA,16573,3184,192.12,19.212,51,25
Collingsworth County,Texas,TX,3032,582,191.95,19.195,48,87
Hopkins County,Texas,TX,35844,6880,191.94,19.194,48,223
Gilmer County,Georgia,GA,28956,5556,191.88,19.188,13,123
Lawrence County,Tennessee,TN,42406,8136,191.86,19.186,47,99
Accomack County,Virginia,VA,33060,6341,191.8,19.18,51,1
McLennan County,Texas,TX,243394,46681,191.79,19.179,48,309
Camp County,Texas,TX,12631,2422,191.75,19.175,48,63
Jefferson Davis Parish,Louisiana,LA,31399,6020,191.73,19.173,22,53
Scott County,Missouri,MO,38994,7467,191.49,19.149,29,201
Treasure County,Montana,MT,846,162,191.49,19.149,30,103
Quay County,New Mexico,NM,8555,1638,191.47,19.147,35,37
Carroll County,Tennessee,TN,28417,5441,191.47,19.147,47,17
Jackson County,Florida,FL,48721,9325,191.4,19.14,12,63
Wayne County,Indiana,IN,67423,12903,191.37,19.137,18,177
Florence County,South Carolina,SC,138575,26515,191.34,19.134,45,41
Lewis County,West Virginia,WV,16422,3142,191.33,19.133,54,41
East Baton Rouge Parish,Louisiana,LA,445337,85171,191.25,19.125,22,33
Riley County,Kansas,KS,75026,14347,191.23,19.123,20,161
Garrard County,Kentucky,KY,17051,3259,191.13,19.113,21,79
Highlands County,Florida,FL,98862,18889,191.06,19.106,12,55
Ritchie County,West Virginia,WV,10044,1919,191.06,19.106,54,85
Sabine Parish,Louisiana,LA,24144,4612,191.02,19.102,22,85
Calhoun County,Alabama,AL,115883,22135,191.01,19.101,1,15
Grayson County,Virginia,VA,15180,2899,190.97,19.097,51,77
Randolph County,Arkansas,AR,17584,3357,190.91,19.091,5,121
Kings County,California,CA,150261,28661,190.74,19.074,6,31
Graham County,North Carolina,NC,8651,1650,190.73,19.073,37,75
Reynolds County,Missouri,MO,6530,1245,190.66,19.066,29,179
Rockingham County,North Carolina,NC,91898,17517,190.61,19.061,37,157
Clarke County,Mississippi,MS,16203,3087,190.52,19.052,28,23
Henry County,Tennessee,TN,32291,6151,190.49,19.049,47,79
Miller County,Missouri,MO,25011,4763,190.44,19.044,29,131
Calhoun County,South Carolina,SC,14886,2834,190.38,19.038,45,17
Angelina County,Texas,TX,87657,16688,190.38,19.038,48,5
McMinn County,Tennessee,TN,52606,10012,190.32,19.032,47,107
Neosho County,Kansas,KS,16358,3113,190.3,19.03,20,133
Jefferson County,Oklahoma,OK,6280,1195,190.29,19.029,40,67
Benton County,Missouri,MO,18825,3581,190.23,19.023,29,15
Childress County,Texas,TX,7059,1342,190.11,19.011,48,75
Stewart County,Tennessee,TN,13257,2520,190.09,19.009,47,161
White County,Georgia,GA,28140,5345,189.94,18.994,13,311
Rutherford County,North Carolina,NC,66701,12668,189.92,18.992,37,161
Forsyth County,North Carolina,NC,364691,69253,189.9,18.99,37,67
Suffolk County,Massachusetts,MA,767719,145744,189.84,18.984,25,25
Mobile County,Alabama,AL,414291,78633,189.8,18.98,1,97
Silver Bow County,Montana,MT,34560,6555,189.67,18.967,30,93
Lunenburg County,Virginia,VA,12450,2361,189.64,18.964,51,111
Vermilion County,Illinois,IL,79613,15093,189.58,18.958,17,183
Marion County,Tennessee,TN,28363,5374,189.47,18.947,47,115
Muhlenberg County,Kentucky,KY,31216,5914,189.45,18.945,21,177
Wayne County,Georgia,GA,30006,5684,189.43,18.943,13,305
Fayette County,Indiana,IN,23608,4472,189.43,18.943,18,41
Georgetown County,South Carolina,SC,60804,11514,189.36,18.936,45,43
Hawkins County,Tennessee,TN,56567,10706,189.26,18.926,47,73
Floyd County,Georgia,GA,96199,18192,189.11,18.911,13,115
Decatur County,Iowa,IA,8210,1552,189.04,18.904,19,53
Cass County,Texas,TX,30346,5736,189.02,18.902,48,67
Arenac County,Michigan,MI,15327,2897,189.01,18.901,26,11
Little River County,Arkansas,AR,12616,2384,188.97,18.897,5,81
Ashtabula County,Ohio,OH,99175,18735,188.91,18.891,39,7
Del Norte County,California,CA,27628,5219,188.9,18.89,6,15
Laclede County,Missouri,MO,35505,6698,188.65,18.865,29,105
Union County,Mississippi,MS,27989,5277,188.54,18.854,28,145
Monroe County,Tennessee,TN,45482,8575,188.54,18.854,47,123
Seminole County,Georgia,GA,8696,1639,188.48,18.848,13,253
Norfolk city,Virginia,VA,245724,46307,188.45,18.845,51,710
Franklin County,Illinois,IL,39503,7440,188.34,18.834,17,55
Yadkin County,North Carolina,NC,37819,7112,188.05,18.805,37,197
Muskegon County,Michigan,MI,172148,32351,187.93,18.793,26,121
Crawford County,Georgia,GA,12483,2343,187.7,18.77,13,79
Henderson County,Kentucky,KY,46362,8696,187.57,18.757,21,101
Van Buren County,Tennessee,TN,5641,1058,187.56,18.756,47,175
Henry County,Virginia,VA,52209,9776,187.25,18.725,51,89
Jefferson County,Texas,TX,252993,47369,187.23,18.723,48,245
Saluda County,South Carolina,SC,20113,3764,187.14,18.714,45,81
Washington County,Missouri,MO,25002,4678,187.11,18.711,29,221
Beauregard Parish,Louisiana,LA,36435,6815,187.05,18.705,22,11
Rio Grande County,Colorado,CO,11623,2174,187.04,18.704,8,105
Pointe Coupee Parish,Louisiana,LA,22366,4182,186.98,18.698,22,77
Madison County,Tennessee,TN,98128,18345,186.95,18.695,47,113
Houston County,Alabama,AL,103891,19415,186.88,18.688,1,69
Lubbock County,Texas,TX,294682,55027,186.73,18.673,48,303
Alpine County,California,CA,1184,221,186.66,18.666,6,3
Kimble County,Texas,TX,4453,831,186.62,18.662,48,267
Charlton County,Georgia,GA,12968,2420,186.61,18.661,13,49
Harrison County,Kentucky,KY,18629,3476,186.59,18.659,21,97
Lake and Peninsula Borough,Alaska,AK,1411,263,186.39,18.639,2,164
Maries County,Missouri,MO,8987,1675,186.38,18.638,29,125
Covington County,Alabama,AL,37729,7031,186.36,18.636,1,39
McIntosh County,Oklahoma,OK,20161,3757,186.35,18.635,40,91
Somerset County,Maryland,MD,25899,4826,186.34,18.634,24,39
Glades County,Florida,FL,13420,2500,186.29,18.629,12,43
DeKalb County,Georgia,GA,723902,134830,186.25,18.625,13,89
San Bernardino County,California,CA,2106754,392195,186.16,18.616,6,71
Independence County,Arkansas,AR,37030,6891,186.09,18.609,5,63
Mohave County,Arizona,AZ,203629,37884,186.04,18.604,4,15
Calhoun County,Arkansas,AR,5210,969,185.99,18.599,5,13
Carroll County,Georgia,GA,113756,21157,185.99,18.599,13,45
Jackson County,Alabama,AL,52608,9780,185.9,18.59,1,71
Murray County,Georgia,GA,39358,7315,185.86,18.586,13,213
Gogebic County,Michigan,MI,15650,2908,185.81,18.581,26,53
Simpson County,Kentucky,KY,17856,3317,185.76,18.576,21,213
Pima County,Arizona,AZ,1003338,186299,185.68,18.568,4,19
Logan County,Arkansas,AR,21935,4071,185.59,18.559,5,83
Crawford County,Arkansas,AR,61927,11491,185.56,18.556,5,33
Christian County,Kentucky,KY,73936,13719,185.55,18.555,21,47
Yolo County,California,CA,209671,38898,185.52,18.552,6,113
Vigo County,Indiana,IN,108099,20053,185.51,18.551,18,167
Monroe County,Ohio,OH,14442,2679,185.5,18.55,39,111
Hardin County,Illinois,IL,4173,774,185.48,18.548,17,69
Bailey County,Texas,TX,7131,1322,185.39,18.539,48,17
Chautauqua County,New York,NY,131748,24410,185.28,18.528,36,13
Wexford County,Michigan,MI,32829,6080,185.2,18.52,26,165
Hill County,Texas,TX,34901,6457,185.01,18.501,48,217
Montezuma County,Colorado,CO,26006,4811,185,18.5,8,83
Lake County,Tennessee,TN,7643,1413,184.88,18.488,47,95
Seward County,Kansas,KS,23185,4285,184.82,18.482,20,175
Catahoula Parish,Louisiana,LA,10145,1875,184.82,18.482,22,25
Tyler County,West Virginia,WV,9000,1663,184.78,18.478,54,95
Massac County,Illinois,IL,14883,2750,184.77,18.477,17,127
Bernalillo County,New Mexico,NM,674777,124678,184.77,18.477,35,1
Macon County,Missouri,MO,15399,2845,184.75,18.475,29,121
Nowata County,Oklahoma,OK,10510,1941,184.68,18.468,40,105
Pacific County,Washington,WA,20743,3829,184.59,18.459,53,49
Putnam County,Missouri,MO,4877,900,184.54,18.454,29,171
Hawaii County,Hawaii,HI,193680,35737,184.52,18.452,15,1
Franklin County,Mississippi,MS,7818,1442,184.45,18.445,28,37
Hancock County,Mississippi,MS,46028,8490,184.45,18.445,28,45
Davis County,Iowa,IA,8768,1617,184.42,18.442,19,51
Payette County,Idaho,ID,22773,4199,184.39,18.439,16,75
Montgomery County,Kansas,KS,33765,6225,184.36,18.436,20,125
Montgomery County,Arkansas,AR,9100,1677,184.29,18.429,5,97
Canyon County,Idaho,ID,202782,37366,184.27,18.427,16,27
Henderson County,Texas,TX,79213,14593,184.22,18.422,48,213
Pope County,Arkansas,AR,63107,11620,184.13,18.413,5,115
Halifax County,Virginia,VA,35305,6498,184.05,18.405,51,83
Washington County,Florida,FL,24627,4532,184.03,18.403,12,133
Cheboygan County,Michigan,MI,25579,4704,183.9,18.39,26,31
Garvin County,Oklahoma,OK,27570,5070,183.9,18.39,40,49
Latimer County,Oklahoma,OK,10643,1957,183.88,18.388,40,77
Fayette County,West Virginia,WV,45192,8306,183.79,18.379,54,19
Klamath County,Oregon,OR,65946,12117,183.74,18.374,41,35
Lincoln County,Oregon,OR,46685,8576,183.7,18.37,41,41
Glynn County,Georgia,GA,82623,15177,183.69,18.369,13,127
Mason County,West Virginia,WV,27060,4970,183.67,18.367,54,53
Bowie County,Texas,TX,93483,17166,183.63,18.363,48,37
Tishomingo County,Mississippi,MS,19503,3581,183.61,18.361,28,141
McPherson County,Nebraska,NE,425,78,183.53,18.353,31,117
Douglas County,Oregon,OR,107375,19701,183.48,18.348,41,19
Dallas County,Texas,TX,2513054,461045,183.46,18.346,48,113
Shackelford County,Texas,TX,3323,609,183.27,18.327,48,417
Oconee County,South Carolina,SC,75375,13806,183.16,18.316,45,73
Washington County,Arkansas,AR,219930,40272,183.11,18.311,5,143
Morris County,Texas,TX,12653,2316,183.04,18.304,48,343
Meigs County,Tennessee,TN,11804,2160,182.99,18.299,47,121
Pender County,North Carolina,NC,56358,10304,182.83,18.283,37,141
Worth County,Georgia,GA,20988,3837,182.82,18.282,13,321
Hunt County,Texas,TX,89068,16281,182.79,18.279,48,231
Kinney County,Texas,TX,3578,654,182.78,18.278,48,271
Van Buren County,Arkansas,AR,16892,3084,182.57,18.257,5,141
Gibson County,Tennessee,TN,49511,9039,182.57,18.257,47,53
Lincoln County,Tennessee,TN,33582,6123,182.33,18.233,47,103
Coleman County,Texas,TX,8476,1545,182.28,18.228,48,83
Assumption Parish,Louisiana,LA,22973,4186,182.21,18.221,22,7
Marion County,Alabama,AL,30239,5509,182.18,18.218,1,93
Lee County,Mississippi,MS,85281,15531,182.12,18.212,28,81
Dyer County,Tennessee,TN,37970,6915,182.12,18.212,47,45
Boone County,Missouri,MO,172773,31461,182.09,18.209,29,19
Linn County,Missouri,MO,12319,2241,181.91,18.191,29,115
Macon County,North Carolina,NC,33991,6183,181.9,18.19,37,113
Person County,North Carolina,NC,39196,7127,181.83,18.183,37,145
Lawrence County,Ohio,OH,61503,11183,181.83,18.183,39,87
Macon County,Tennessee,TN,22924,4167,181.77,18.177,47,111
Webster County,Missouri,MO,37075,6737,181.71,18.171,29,225
Marion County,Kentucky,KY,19497,3541,181.62,18.162,21,155
Humphreys County,Tennessee,TN,18216,3308,181.6,18.16,47,85
Craighead County,Arkansas,AR,102884,18682,181.58,18.158,5,31
Pulaski County,Illinois,IL,5792,1051,181.46,18.146,17,153
Fayette County,Ohio,OH,28719,5207,181.31,18.131,39,47
Pike County,Arkansas,AR,11017,1997,181.27,18.127,5,109
Butts County,Georgia,GA,23479,4255,181.23,18.123,13,35
Fayette County,Kentucky,KY,311529,56444,181.18,18.118,21,67
Carroll County,Missouri,MO,9009,1632,181.15,18.115,29,33
Etowah County,Alabama,AL,103363,18713,181.04,18.104,1,55
Macon County,Illinois,IL,108404,19626,181.04,18.104,17,115
McLean County,Kentucky,KY,9492,1718,180.99,18.099,21,149
Lawrence County,Alabama,AL,33433,6050,180.96,18.096,1,79
Cuyahoga County,Ohio,OH,1258710,227740,180.93,18.093,39,35
Newberry County,South Carolina,SC,37750,6828,180.87,18.087,45,71
Fayette County,Pennsylvania,PA,134229,24277,180.86,18.086,42,51
Harrison County,Missouri,MO,8649,1564,180.83,18.083,29,81
Graves County,Kentucky,KY,37379,6758,180.8,18.08,21,83
Carter County,Kentucky,KY,27292,4933,180.75,18.075,21,43
Union County,Oregon,OR,25758,4655,180.72,18.072,41,61
Beltrami County,Minnesota,MN,45644,8247,180.68,18.068,27,7
Greene County,Tennessee,TN,68502,12373,180.62,18.062,47,59
Boyd County,Kentucky,KY,48716,8795,180.54,18.054,21,19
Stanislaus County,California,CA,530561,95739,180.45,18.045,6,99
Warren County,Kentucky,KY,121066,21838,180.38,18.038,21,227
Prairie County,Montana,MT,1414,255,180.34,18.034,30,79
Walker County,Georgia,GA,68143,12273,180.11,18.011,13,295
McCulloch County,Texas,TX,8242,1484,180.05,18.005,48,307
Dallas County,Missouri,MO,16508,2970,179.91,17.991,29,59
Camden County,Missouri,MO,44152,7943,179.9,17.99,29,29
Alamance County,North Carolina,NC,156372,28123,179.85,17.985,37,1
Greenbrier County,West Virginia,WV,35580,6398,179.82,17.982,54,25
Frio County,Texas,TX,18542,3333,179.75,17.975,48,163
Mercer County,Kentucky,KY,21411,3846,179.63,17.963,21,167
Montgomery County,Ohio,OH,532761,95684,179.6,17.96,39,113
Calhoun County,Texas,TX,21805,3914,179.5,17.95,48,57
Hillsdale County,Michigan,MI,46024,8261,179.49,17.949,26,59
McPherson County,South Dakota,SD,2252,404,179.4,17.94,46,89
Columbia County,Florida,FL,68198,12229,179.32,17.932,12,23
Lee County,North Carolina,NC,59540,10673,179.26,17.926,37,105
Pendleton County,West Virginia,WV,7291,1307,179.26,17.926,54,71
Newaygo County,Michigan,MI,47957,8596,179.24,17.924,26,123
Stonewall County,Texas,TX,1233,221,179.24,17.924,48,433
Pocahontas County,West Virginia,WV,8620,1545,179.23,17.923,54,75
Greene County,Missouri,MO,285449,51145,179.17,17.917,29,77
Jessamine County,Kentucky,KY,51015,9139,179.14,17.914,21,113
Madison County,Arkansas,AR,15761,2823,179.11,17.911,5,87
Real County,Texas,TX,3348,599,178.91,17.891,48,385
St. John the Baptist Parish,Louisiana,LA,43888,7851,178.89,17.889,22,95
Alleghany County,Virginia,VA,15919,2847,178.84,17.884,51,5
Crenshaw County,Alabama,AL,13896,2484,178.76,17.876,1,41
Pontotoc County,Mississippi,MS,30862,5517,178.76,17.876,28,115
Crockett County,Tennessee,TN,14558,2602,178.73,17.873,47,33
Logan County,Kentucky,KY,26757,4778,178.57,17.857,21,141
Lauderdale County,Alabama,AL,92641,16538,178.52,17.852,1,77
Grant County,Indiana,IN,68269,12183,178.46,17.846,18,53
Day County,South Dakota,SD,5588,997,178.42,17.842,46,37
Marion County,Illinois,IL,38503,6867,178.35,17.835,17,121
Callahan County,Texas,TX,13596,2424,178.29,17.829,48,59
Jackson County,Oregon,OR,210916,37595,178.25,17.825,41,29
Clarion County,Pennsylvania,PA,38939,6941,178.25,17.825,42,31
Lincoln County,New Mexico,NM,19726,3515,178.19,17.819,35,27
Coos County,Oregon,OR,62944,11213,178.14,17.814,41,11
Montrose County,Colorado,CO,40866,7278,178.09,17.809,8,85
Lawrence County,Missouri,MO,38204,6803,178.07,17.807,29,109
Bradley County,Tennessee,TN,102860,18291,177.82,17.782,47,11
Atchison County,Kansas,KS,16557,2941,177.63,17.763,20,5
Douglas County,Kansas,KS,116352,20668,177.63,17.763,20,45
Harrison County,Ohio,OH,15521,2756,177.57,17.757,39,67
Grimes County,Texas,TX,27140,4819,177.56,17.756,48,185
Labette County,Kansas,KS,20833,3699,177.55,17.755,20,99
Somerset County,Maine,ME,51363,9118,177.52,17.752,23,25
Bannock County,Idaho,ID,83815,14875,177.47,17.747,16,5
Fannin County,Georgia,GA,24017,4262,177.46,17.746,13,111
Harnett County,North Carolina,NC,126620,22461,177.39,17.739,37,85
Pulaski County,Arkansas,AR,391806,69467,177.3,17.73,5,119
St. Lucie County,Florida,FL,293136,51945,177.2,17.72,12,111
Oglethorpe County,Georgia,GA,14743,2612,177.17,17.717,13,221
Jefferson County,Alabama,AL,659096,116750,177.14,17.714,1,73
Houston County,Georgia,GA,149137,26411,177.09,17.709,13,153
Marion County,Florida,FL,340341,60266,177.08,17.708,12,83
Lincoln County,Montana,MT,19268,3410,176.98,17.698,30,53
White County,Tennessee,TN,26373,4662,176.77,17.677,47,185
Stevens County,Kansas,KS,5738,1014,176.72,17.672,20,189
Luce County,Michigan,MI,6451,1140,176.72,17.672,26,95
Gregg County,Texas,TX,123283,21785,176.71,17.671,48,183
Rush County,Indiana,IN,16873,2981,176.67,17.667,18,139
Richardson County,Nebraska,NE,8149,1439,176.59,17.659,31,147
Sherman County,Oregon,OR,1705,301,176.54,17.654,41,55
Custer County,Colorado,CO,4375,772,176.46,17.646,8,27
Treutlen County,Georgia,GA,6711,1184,176.43,17.643,13,283
Adams County,Indiana,IN,34813,6140,176.37,17.637,18,1
Sacramento County,California,CA,1479300,260877,176.35,17.635,6,67
Minidoka County,Idaho,ID,20331,3584,176.28,17.628,16,67
Moore County,Texas,TX,22186,3908,176.15,17.615,48,341
Mitchell County,North Carolina,NC,15263,2688,176.11,17.611,37,121
Crook County,Oregon,OR,21334,3757,176.1,17.61,41,13
Perry County,Arkansas,AR,10246,1804,176.07,17.607,5,105
Haakon County,South Dakota,SD,2073,365,176.07,17.607,46,55
Palo Pinto County,Texas,TX,27922,4916,176.06,17.606,48,363
Caldwell County,Texas,TX,39848,7014,176.02,17.602,48,55
Franklin County,Florida,FL,11705,2060,175.99,17.599,12,37
Shoshone County,Idaho,ID,12551,2208,175.92,17.592,16,79
Surry County,North Carolina,NC,72767,12801,175.92,17.592,37,171
Pickens County,South Carolina,SC,120722,21236,175.91,17.591,45,77
Portsmouth city,Virginia,VA,96071,16897,175.88,17.588,51,740
Trimble County,Kentucky,KY,8751,1539,175.87,17.587,21,223
Dewey County,Oklahoma,OK,4862,855,175.85,17.585,40,43
Elmore County,Idaho,ID,26103,4587,175.73,17.573,16,39
George County,Mississippi,MS,23313,4096,175.7,17.57,28,39
Los Angeles County,California,CA,10057155,1764081,175.41,17.541,6,37
Putnam County,Georgia,GA,21259,3727,175.31,17.531,13,237
Weakley County,Tennessee,TN,34024,5962,175.23,17.523,47,183
Mahoning County,Ohio,OH,233015,40823,175.19,17.519,39,99
Pierce County,North Dakota,ND,4373,766,175.17,17.517,38,69
Hall County,Georgia,GA,190482,33350,175.08,17.508,13,139
Oswego County,New York,NY,120513,21100,175.08,17.508,36,75
Buchanan County,Missouri,MO,89415,15652,175.05,17.505,29,21
Dickens County,Texas,TX,2237,391,174.79,17.479,48,125
Polk County,Tennessee,TN,16697,2918,174.76,17.476,47,139
Clark County,Ohio,OH,136175,23792,174.72,17.472,39,23
Wharton County,Texas,TX,41377,7228,174.69,17.469,48,481
Kay County,Oklahoma,OK,45398,7919,174.43,17.443,40,71
Ravalli County,Montana,MT,41130,7173,174.4,17.44,30,81
Wheeler County,Georgia,GA,7932,1383,174.36,17.436,13,309
Pontotoc County,Oklahoma,OK,38213,6661,174.31,17.431,40,123
San Joaquin County,California,CA,714860,124587,174.28,17.428,6,77
Nicholas County,West Virginia,WV,25743,4486,174.26,17.426,54,67
Greene County,Arkansas,AR,43745,7621,174.21,17.421,5,55
Washington County,Maine,ME,31925,5561,174.19,17.419,23,29
Hamilton County,Ohio,OH,805965,140334,174.12,17.412,39,61
Owen County,Kentucky,KY,10673,1858,174.08,17.408,21,187
Rowan County,North Carolina,NC,138694,24142,174.07,17.407,37,159
Tompkins County,New York,NY,104268,18133,173.91,17.391,36,109
Ross County,Ohio,OH,77193,13419,173.84,17.384,39,141
Berrien County,Michigan,MI,155134,26963,173.8,17.38,26,21
Smyth County,Virginia,VA,31513,5477,173.8,17.38,51,173
Baca County,Colorado,CO,3648,634,173.79,17.379,8,9
Citrus County,Florida,FL,140453,24409,173.79,17.379,12,17
Reagan County,Texas,TX,3625,630,173.79,17.379,48,383
Horry County,South Carolina,SC,300418,52197,173.75,17.375,45,51
Jasper County,Missouri,MO,117376,20393,173.74,17.374,29,97
