Location Name,State Index,State Abbr,Total Pop,Income in the past 12 months below poverty level,"Below poverty level per 1,000 residents",Percent below poverty level,state,county
San Juan County,New Mexico,NM,122537,24871,202.97,20.297,35,45
Coles County,Illinois,IL,52802,10711,202.85,20.285,17,29
Monroe County,Mississippi,MS,36029,7308,202.84,20.284,28,95
Uvalde County,Texas,TX,27055,5484,202.7,20.27,48,463
Pike County,Ohio,OH,28298,5735,202.66,20.266,39,131
Marshall County,Alabama,AL,94534,19138,202.45,20.245,1,95
Piscataquis County,Maine,ME,17044,3448,202.3,20.23,23,21
Garland County,Arkansas,AR,97119,19639,202.22,20.222,5,51
Yakima County,Washington,WA,247681,50081,202.2,20.22,53,77
Bleckley County,Georgia,GA,12835,2593,202.03,20.203,13,23
Benton County,Oregon,OR,87455,17665,201.99,20.199,41,3
Hopewell city,Virginia,VA,22332,4509,201.91,20.191,51,670
Lucas County,Ohio,OH,434800,87717,201.74,20.174,39,95
Bristol city,Virginia,VA,17340,3498,201.73,20.173,51,520
Acadia Parish,Louisiana,LA,62372,12579,201.68,20.168,22,1
Montgomery County,New York,NY,49667,10014,201.62,20.162,36,57
Muskogee County,Oklahoma,OK,69939,14085,201.39,20.139,40,101
Winston County,Alabama,AL,24013,4833,201.27,20.127,1,133
Marion County,Indiana,IN,932142,187586,201.24,20.124,18,97
Gladwin County,Michigan,MI,25367,5099,201.01,20.101,26,51
Dodge County,Georgia,GA,20995,4219,200.95,20.095,13,91
Randolph County,Alabama,AL,22615,4542,200.84,20.084,1,111
Martin County,North Carolina,NC,23510,4721,200.81,20.081,37,117
Douglas County,Missouri,MO,13467,2704,200.79,20.079,29,67
